config,operation,distribution,train_range,test_range,hill_space_matched_mse,hill_space_matched_epochs,hill_space_universal_mse,hill_space_universal_epochs
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3289.1742159622613,100,1.3646149812010934e-28,100
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",0.2196616227877908,100,3.983497200473339e-32,100
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",3.1641210908414784e-30,100,3.1641210908414784e-30,100
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",2.273212648212141e-31,70,2.273212648212141e-31,100
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",3.326058457465247e-28,100,3.326058457465247e-28,100
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",4.806254472715567e-32,20,4.806254472715567e-32,100
uniform_1.1_1.2_to_1.2_6,add,uniform,"1.1,1.2","1.2,6.0",3.4335787197326743e-31,100,3.4335787197326743e-31,100
uniform_1.1_1.2_to_1.2_6,subtract,uniform,"1.1,1.2","1.2,6.0",6.946433136669699e-32,100,6.946433136669699e-32,100
uniform_1.1_1.2_to_1.2_6,multiply,uniform,"1.1,1.2","1.2,6.0",4.1904730397367475e-30,100,4.1904730397367475e-30,100
uniform_1.1_1.2_to_1.2_6,divide,uniform,"1.1,1.2","1.2,6.0",3.567782814564924e-32,100,3.567782814564924e-32,100
exponential_0.8_0.5,add,exponential,"0.8,0.8","0.5,0.5",6.78460789164665e-33,100,6.78460789164665e-33,100
exponential_0.8_0.5,subtract,exponential,"0.8,0.8","0.5,0.5",2.9089291362457005e-33,100,2.9089291362457005e-33,100
exponential_0.8_0.5,multiply,exponential,"0.8,0.8","0.5,0.5",2.3750264678636818e-33,60,2.3750264678636818e-33,100
exponential_0.8_0.5,divide,exponential,"0.8,0.8","0.5,0.5",1.4125814954751707e-28,100,1.4125814954751707e-28,100
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",1.3142915719047822e-30,100,1.3142915719047822e-30,100
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",1.7148906202451312e-31,100,1.7148906202451312e-31,100
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3297.9385007899123,100,1.3699121821796526e-28,100
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",0.1944581735421457,100,4.055372905997871e-32,100
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",3.1694459019517205e-30,100,3.1694459019517205e-30,100
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",2.267947927654462e-31,70,2.267947927654462e-31,100
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",3.370297777030042e-28,100,3.370297777030042e-28,100
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",4.7364972901298606e-32,20,4.7364972901298606e-32,100
uniform_1.1_1.2_to_1.2_6,add,uniform,"1.1,1.2","1.2,6.0",3.422208029341012e-31,100,3.422208029341012e-31,100
uniform_1.1_1.2_to_1.2_6,subtract,uniform,"1.1,1.2","1.2,6.0",7.00714352884359e-32,100,7.00714352884359e-32,100
uniform_1.1_1.2_to_1.2_6,multiply,uniform,"1.1,1.2","1.2,6.0",4.290045158605522e-30,100,4.290045158605522e-30,100
uniform_1.1_1.2_to_1.2_6,divide,uniform,"1.1,1.2","1.2,6.0",3.585439981036309e-32,100,3.585439981036309e-32,100
exponential_0.8_0.5,add,exponential,"0.8,0.8","0.5,0.5",6.728929076516031e-33,100,6.728929076516031e-33,100
exponential_0.8_0.5,subtract,exponential,"0.8,0.8","0.5,0.5",2.8939384346252828e-33,100,2.8939384346252828e-33,100
exponential_0.8_0.5,multiply,exponential,"0.8,0.8","0.5,0.5",2.5312397660968476e-33,20,2.5312397660968476e-33,100
exponential_0.8_0.5,divide,exponential,"0.8,0.8","0.5,0.5",1.44421210116984e-28,100,1.44421210116984e-28,100
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",1.3047266334289773e-30,100,1.3047266334289773e-30,100
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",1.6959136728655747e-31,100,1.6959136728655747e-31,100
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3293.686540612276,100,1.355815237803353e-28,100
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",0.204691238658538,100,4.070452937462423e-32,100
