op,optimizer,threshold,mse
identity,RMSProp,0.01,8.718848719898233e-24
reciprocal,RMSProp,0.01,1.2203761945046209e-36
sin,RMSProp,0.01,8.377795258084475e-36
cos_add,RMSProp,0.01,3.509858511054632e-26
add,Adagrad,0.01,2.0116414947040223e-25
subtract,Adagrad,0.01,2.941252805300782e-25
multiply,Adagrad,0.01,5.847882223257971e-16
divide,Adagrad,0.01,1.9769096660234161e-28
identity,Adagrad,0.01,8.718848719898233e-24
reciprocal,Adagrad,0.01,1.2203761945046209e-36
sin,Adagrad,0.01,8.539125647956002e-07
cos_add,Adagrad,0.01,2.9158649146409235e-06
add,Adadelta,0.01,2.0116414947040223e-25
subtract,Adadelta,0.01,2.941252805300782e-25
multiply,Adadelta,0.01,5.847882223257971e-16
divide,Adadelta,0.01,1.9769096660234161e-28
identity,Adadelta,0.01,8.718848719898233e-24
reciprocal,Adadelta,0.01,1.2203761945046209e-36
sin,Adadelta,0.01,1.2453054050426372e-05
cos_add,Adadelta,0.01,1.2361442075450052e-06
add,Rprop,0.01,2.0116414947040223e-25
subtract,Rprop,0.01,2.941252805300782e-25
multiply,Rprop,0.01,5.847882223257971e-16
divide,Rprop,0.01,1.9769096660234161e-28
identity,Rprop,0.01,8.718848719898233e-24
reciprocal,Rprop,0.01,1.2203761945046209e-36
sin,Rprop,0.01,8.377795258084475e-36
cos_add,Rprop,0.01,3.509858511054632e-26
add,SGD+mom,0.01,2.0116414947040223e-25
subtract,SGD+mom,0.01,2.941252805300782e-25
multiply,SGD+mom,0.01,5.847882223257971e-16
divide,SGD+mom,0.01,1.9769096660234161e-28
identity,SGD+mom,0.01,8.718848719898233e-24
reciprocal,SGD+mom,0.01,1.2203761945046209e-36
sin,SGD+mom,0.01,8.377795258084475e-36
cos_add,SGD+mom,0.01,3.2967135423078255e-07
